,listing_id,id,reviewer_id
count,2097996.0,2097996.0,2097996.0
mean,3.572206701611668e+17,7.776854881499665e+17,196830096.16551843
std,4.905398911899125e+17,5.533265902732279e+17,187555236.69126725
min,13913.0,21032.0,44.0
25%,15813129.5,570744771.75,40439160.75
50%,37989968.0,9.259551077419386e+17,127912318.5
75%,8.332622271342086e+17,1.2615099404670013e+18,325754259.5
max,1.5089000428721795e+18,1.5123480455196534e+18,718830086.0
